,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
221,元大金華,7.0,2.0,5.0,105.0,105.0,?亞鑫豐,19.6,22.0,-2.4,104.8,105.02
222,凱基竹東,8.0,3.0,5.0,104.88,105.0,元大鳳中,2.14,4.53,-2.39,104.99,105.0
223,大展台南,5.0,0.0,5.0,105.1,0.0,群益中山,2.0,4.3,-2.3,105.0,105.0
224,亞東台中,5.0,0.0,5.0,105.0,0.0,第一澎湖,0.0,2.3,-2.3,105.0,105.0
225,國票彰化,6.0,1.0,5.0,105.0,105.0,元大土城,6.0,8.28,-2.28,105.0,105.0
226,永豐苓雅,61.0,56.0,5.0,104.55,105.0,德信,1.0,3.2,-2.2,104.5,104.69
227,台新台南,10.0,5.05,4.95,105.05,104.8,元大東蘆,12.0,14.2,-2.2,104.83,105.0
228,元富中港,7.3,2.6,4.7,105.0,104.81,元大淡水,13.0,15.19,-2.19,104.58,104.93
229,日盛八德,9.64,5.0,4.64,105.03,105.0,凱基八德,0.0,2.1,-2.1,0.0,104.79
230,元富基隆,7.0,2.57,4.43,105.07,105.02,富邦彰化,1.0,3.03,-2.03,105.0,105.0
231,華南林口,15.48,11.07,4.41,104.94,105.0,德信新營,0.0,2.01,-2.01,0.0,105.0
232,凱基竹北,19.1,14.76,4.34,105.0,105.1,康和南崁,1.0,3.0,-2.0,105.0,105.0
233,群益潭子,7.3,3.0,4.3,105.0,105.0,亞東台南,5.0,7.0,-2.0,104.5,105.07
234,美好蘆洲,5.2,1.0,4.2,105.0,105.0,永豐忠孝,42.0,44.0,-2.0,104.54,104.98
235,元大德芳,7.0,2.84,4.17,104.93,105.0,土銀台南,1.0,3.0,-2.0,105.0,105.0
236,元富板橋,10.15,6.0,4.15,105.0,104.83,國票南崁,0.0,2.0,-2.0,0.0,105.0
237,元富新莊,4.15,0.0,4.15,104.76,0.0,土銀和平,0.0,2.0,-2.0,0.0,105.0
238,日盛中壢,6.1,2.0,4.1,104.67,104.75,群益高盛,3.0,5.0,-2.0,105.0,104.8
239,第一頭份,10.2,6.1,4.1,104.9,105.0,華南竹北,2.0,4.0,-2.0,105.0,105.0
240,凱基五股,4.07,0.0,4.07,105.12,0.0,兆豐城中,2.0,4.0,-2.0,105.0,105.0
241,大展,5.06,1.0,4.06,105.0,104.5,永興大墩,0.0,2.0,-2.0,0.0,104.5
242,元富宜蘭,11.06,7.0,4.06,105.05,105.0,元富草屯,0.0,2.0,-2.0,0.0,104.5
243,凱基市府,4.2,0.15,4.05,104.9,105.0,合庫鳳山,1.0,3.0,-2.0,105.0,105.0
244,永豐板新,12.04,8.0,4.04,104.96,105.0,元大松山,0.0,2.0,-2.0,0.0,105.0
245,玉山數位,6.09,2.06,4.03,105.08,105.0,兆豐松德,3.0,5.0,-2.0,105.0,105.1
246,元大旗山,5.0,1.0,4.0,104.8,105.0,台新建北,4.0,6.0,-2.0,104.75,105.0
247,華南三重,14.0,10.0,4.0,104.54,105.0,台新中壢,2.0,4.0,-2.0,105.0,105.0
248,永全八德,10.0,6.0,4.0,105.0,105.0,康和高雄,2.0,4.0,-2.0,104.75,105.0
